file,propeller,volume
"105x45-PERF.PE0","10.5x4.5: radius 5.25 in, 2 blades, hub radius 0.500 in","model 1.0541 in^3 with the bore cut; file quotes 1.1454 in^3"
"105x6-PERF.PE0","10.5x6: radius 5.25 in, 2 blades, hub radius 0.500 in","model 1.2381 in^3 with the bore cut; file quotes 1.3083 in^3"
"10x10-PERF.PE0","10x10: radius 5.00 in, 2 blades, hub radius 0.500 in","model 1.1541 in^3 with the bore cut; file quotes 1.3248 in^3"
"10x10E-PERF.PE0","10x10E: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.6588 in^3 with the bore cut; file quotes 0.7449 in^3"
"10x10M-JK-PERF.PE0","10x10M-JK: radius 4.94 in, 2 blades, hub radius 0.610 in","model 1.7193 in^3 with the bore cut; file quotes 1.8854 in^3"
"10x12WE-PERF.PE0","10x12WE: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.7334 in^3 with the bore cut; file quotes 0.8020 in^3"
"10x14EP-PERF.PE0","10x14EP: radius 5.00 in, 2 blades, hub radius 0.500 in","model 0.8318 in^3 with the bore cut; file quotes 1.0196 in^3"
"10x14M-LH-PERF.PE0","10x14M-LH: radius 4.94 in, 2 blades, hub radius 0.610 in","model 1.6935 in^3 with the bore cut; file quotes 1.8857 in^3"
"10x3-PERF.PE0","10x3: radius 5.00 in, 2 blades, hub radius 0.500 in","model 0.9058 in^3 with the bore cut; file quotes 1.0307 in^3"
"10x38MRF-RH-PERF.PE0","10x3.8MRF-RH: radius 5.00 in, 2 blades, hub radius 0.000 in","model 0.1431 in^3 with the bore cut; file quotes 0.3378 in^3"
"10x38SF-PERF.PE0","10x3.8SF: radius 5.00 in, 2 blades, hub radius 0.250 in","model 0.3423 in^3 with the bore cut; file quotes 0.4190 in^3"
"10x4-PERF.PE0","10x4: radius 5.00 in, 2 blades, hub radius 0.500 in","model 1.0779 in^3 with the bore cut; file quotes 1.1331 in^3"
"10x45MR-PERF.PE0","10x4.5MR: radius 5.00 in, 2 blades, hub radius 0.320 in","model 0.4961 in^3 with the bore cut; file quotes 0.5138 in^3"
"10x45MRF-RH-PERF.PE0","10x4.5MRF-RH: radius 5.00 in, 2 blades, hub radius 0.000 in","model 0.1662 in^3 with the bore cut; file quotes 0.4575 in^3"
"10x46SF-PERF.PE0","10x4.6SF: radius 5.00 in, 2 blades, hub radius 0.250 in","model 0.2223 in^3 with the bore cut; file quotes 0.2656 in^3"
"10x47SF-PERF.PE0","10x4.7SF: radius 5.00 in, 2 blades, hub radius 0.250 in","model 0.3263 in^3 with the bore cut; file quotes 0.3879 in^3"
"10x4M-LH-PERF.PE0","10x4M-LH: radius 4.98 in, 2 blades, hub radius 0.620 in","model 1.2395 in^3 with the bore cut; file quotes 1.4003 in^3"
"10x5-PERF.PE0","10x5: radius 5.00 in, 2 blades, hub radius 0.500 in","model 0.9609 in^3 with the bore cut; file quotes 1.0885 in^3"
"10x55MR-PERF.PE0","10x5.5MR: radius 5.00 in, 2 blades, hub radius 0.320 in","model 0.4957 in^3 with the bore cut; file quotes 0.5150 in^3"
"10x58EP(F2B)-PERF.PE0","10x5.8EP: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.6401 in^3 with the bore cut; file quotes 0.6889 in^3"
"10x5E-PERF.PE0","10x5E: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.6917 in^3 with the bore cut; file quotes 0.7294 in^3"
"10x5M-LH-PERF.PE0","10x5M-LH: radius 5.00 in, 2 blades, hub radius 0.620 in","model 1.1676 in^3 with the bore cut; file quotes 1.2756 in^3"
"10x6-4-PERF.PE0","10x6-4: radius 5.00 in, 4 blades, hub radius 0.350 in","model 1.1486 in^3 with the bore cut; file quotes 1.1247 in^3"
"10x6-PERF.PE0","10x6: radius 5.00 in, 2 blades, hub radius 0.500 in","model 1.0974 in^3 with the bore cut; file quotes 1.1658 in^3"
"10x6E-PERF.PE0","10x6E: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.6855 in^3 with the bore cut; file quotes 0.7408 in^3"
"10x6F-PERF.PE0","10x6F: radius 5.00 in, 2 blades, hub radius 0.000 in","model 0.1566 in^3 with the bore cut; file quotes 0.5051 in^3"
"10x7-PERF.PE0","10x7: radius 5.00 in, 2 blades, hub radius 0.500 in","model 1.0837 in^3 with the bore cut; file quotes 1.1545 in^3"
"10x7E-PERF.PE0","10x7E: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.6836 in^3 with the bore cut; file quotes 0.7407 in^3"
"10x7SF-PERF.PE0","10x7SF: radius 5.00 in, 2 blades, hub radius 0.250 in","model 0.3504 in^3 with the bore cut; file quotes 0.4245 in^3"
"10x8-PERF.PE0","10x8: radius 5.00 in, 2 blades, hub radius 0.500 in","model 1.0587 in^3 with the bore cut; file quotes 1.1108 in^3"
"10x8E-PERF.PE0","10x8E: radius 5.00 in, 2 blades, hub radius 0.400 in","model 0.6702 in^3 with the bore cut; file quotes 0.7329 in^3"
