folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
10.5x4.5,105x45-PERF.PE0,hub and blades,13.24,2,10.5,4.5,0.4002,0.375,1.0541,1.1076,-4.8,29.37,CLARK-Y
10.5x6,105x6-PERF.PE0,hub and blades,13.19,2,10.5,6.0,0.4167,0.375,1.2381,1.2705,-2.5,34.49,CLARK-Y
10x10,10x10-PERF.PE0,hub and blades,12.97,2,10.0,10.0,0.3472,0.375,1.1541,1.2841,-10.1,32.15,CLARK-Y
10x10E,10x10E-PERF.PE0,hub and blades,12.99,2,10.0,10.0,0.3083,0.25,0.6588,0.7241,-9.0,18.35,E63 to APC12
10x10M-JK,10x10M-JK-PERF.PE0,hub and blades,12.94,2,9.88,10.2,0.3978,0.375,1.7193,1.8435,-6.7,47.9,APC12
10x12WE,10x12WE-PERF.PE0,hub and blades,13.13,2,10.0,12.1,0.3246,0.25,0.7334,0.7823,-6.3,20.43,E63 to APC12
10x14EP,10x14EP-PERF.PE0,hub and blades,12.71,2,10.0,14.0,0.3474,0.375,0.8318,0.9815,-15.3,23.17,E66 to APC12
10x14M-LH,10x14M-LH-PERF.PE0,hub and blades,12.95,2,9.88,14.0,0.3978,0.375,1.6935,1.8405,-8.0,47.18,APC12
10x3,10x3-PERF.PE0,hub and blades,13.03,2,10.0,3.0,0.3144,0.375,0.9058,0.9955,-9.0,25.23,CLARK-Y
10x3.8MRF-RH,10x38MRF-RH-PERF.PE0,"one blade, no hub",12.73,1,10.0,3.8,,,0.1431,0.1819,,3.99,E63 to APC12
10x3.8SF,10x38SF-PERF.PE0,hub and blades,13.45,2,10.0,3.8,0.0504,0.25,0.3423,0.4118,-16.9,9.54,E63 to APC12
10x4,10x4-PERF.PE0,hub and blades,13.06,2,10.0,4.0,0.4327,0.375,1.0779,1.0953,-1.6,30.03,CLARK-Y
10x4.5MR,10x45MR-PERF.PE0,hub and blades,13.18,2,10.0,4.5,0.3091,0.25,0.4961,0.5041,-1.6,13.82,E63 to APC12
10x4.5MRF-RH,10x45MRF-RH-PERF.PE0,"one blade, no hub",11.97,1,10.0,4.5004,,,0.1662,0.2355,,4.63,E63 to APC12
10x4.6SF,10x46SF-PERF.PE0,hub and blades,13.17,2,10.0,4.7,0.0897,0.25,0.2223,0.2608,-14.8,6.19,E63 to APC12
10x4.7SF,10x47SF-PERF.PE0,hub and blades,13.32,2,10.0,4.7,0.0468,0.25,0.3263,0.3813,-14.4,9.09,E63 to APC12
10x4M-LH,10x4M-LH-PERF.PE0,hub and blades,12.89,2,9.96,4.0,0.3859,0.375,1.2395,1.3615,-9.0,34.53,CLARK-Y
10x5,10x5-PERF.PE0,hub and blades,13.05,2,10.0,5.0,0.3499,0.375,0.9609,1.0508,-8.6,26.77,CLARK-Y
10x5.5MR,10x55MR-PERF.PE0,hub and blades,13.15,2,10.0,5.5,0.3091,0.25,0.4957,0.5053,-1.9,13.81,E63 to APC12
10x5.8EP,10x58EP(F2B)-PERF.PE0,hub and blades,12.89,2,10.0,5.9002,0.265,0.25,0.6401,0.6738,-5.0,17.83,E63 to APC12
10x5E,10x5E-PERF.PE0,hub and blades,12.91,2,10.0,5.0,0.32,0.25,0.6917,0.7111,-2.7,19.27,E63 to APC12
10x5M-LH,10x5M-LH-PERF.PE0,hub and blades,12.92,2,10.0,5.0,0.3859,0.375,1.1676,1.2398,-5.8,32.53,CLARK-Y
10x6,10x6-PERF.PE0,hub and blades,12.91,2,10.0,6.0,0.4166,0.375,1.0974,1.1279,-2.7,30.57,CLARK-Y
